AttendanceID,StudentID,CourseID,Date,AttendanceStatus,Date_Year,Date_Month,Date_Day,Date_DayOfWeek
1,1086,COURSE6,2022-06-07,Absent,2022,6,7,1
2,1197,COURSE32,2024-03-07,Present,2024,3,7,3
3,1320,COURSE29,2020-11-10,Present,2020,11,10,1
4,1327,COURSE32,2024-01-15,Present,2024,1,15,0
5,1055,COURSE42,2024-07-15,Present,2024,7,15,0
6,1262,COURSE19,2021-12-25,Present,2021,12,25,5
7,1084,COURSE14,2022-09-26,Absent,2022,9,26,0
8,1228,COURSE22,2023-12-17,Present,2023,12,17,6
9,1115,COURSE39,2024-12-03,Present,2024,12,3,1
10,1358,COURSE25,2021-03-14,Absent,2021,3,14,6
11,1449,COURSE17,2021-03-31,Present,2021,3,31,2
12,1500,COURSE7,2021-02-26,Absent,2021,2,26,4
13,1179,COURSE19,2022-09-23,Present,2022,9,23,4
14,1411,COURSE14,2023-05-01,Absent,2023,5,1,0
15,1016,COURSE44,2024-01-21,Present,2024,1,21,6
16,1341,COURSE24,2023-05-26,Absent,2023,5,26,4
17,1140,COURSE34,2020-12-23,Present,2020,12,23,2
18,1056,COURSE50,2023-12-05,Present,2023,12,5,1
19,1065,COURSE18,2022-08-12,Absent,2022,8,12,4
20,1412,COURSE15,2021-08-10,Present,2021,8,10,1
21,1437,COURSE13,2020-04-03,Present,2020,4,3,4
22,1087,COURSE8,2020-03-16,Present,2020,3,16,0
23,1023,COURSE36,2020-11-07,Present,2020,11,7,5
24,1160,COURSE46,2021-01-23,Absent,2021,1,23,5
25,1176,COURSE20,2022-06-26,Absent,2022,6,26,6
26,1369,COURSE46,2024-06-25,Absent,2024,6,25,1
27,1378,COURSE47,2021-05-26,Present,2021,5,26,2
28,1054,COURSE6,2020-06-15,Absent,2020,6,15,0
29,1304,COURSE47,2022-08-12,Present,2022,8,12,4
30,1493,COURSE40,2021-10-01,Absent,2021,10,1,4
31,1242,COURSE46,2023-08-27,Present,2023,8,27,6
32,1380,COURSE17,2021-09-07,Absent,2021,9,7,1
33,1321,COURSE43,2022-04-28,Present,2022,4,28,3
34,1078,COURSE31,2021-12-29,Absent,2021,12,29,2
35,1131,COURSE11,2022-08-29,Absent,2022,8,29,0
36,1166,COURSE21,2023-09-02,Present,2023,9,2,5
37,1468,COURSE37,2024-11-30,Present,2024,11,30,5
38,1005,COURSE39,2020-09-10,Present,2020,9,10,3
39,1244,COURSE41,2021-06-12,Present,2021,6,12,5
40,1173,COURSE9,2021-07-06,Absent,2021,7,6,1
41,1477,COURSE3,2022-01-10,Absent,2022,1,10,0
42,1459,COURSE5,2022-09-30,Present,2022,9,30,4
43,1246,COURSE6,2020-12-09,Absent,2020,12,9,2
44,1250,COURSE34,2022-10-21,Present,2022,10,21,4
45,1096,COURSE36,2023-05-15,Absent,2023,5,15,0
46,1237,COURSE11,2020-03-15,Absent,2020,3,15,6
47,1392,COURSE40,2021-06-04,Absent,2021,6,4,4
48,1090,COURSE14,2023-11-22,Present,2023,11,22,2
49,1302,COURSE23,2024-08-14,Absent,2024,8,14,2
50,1239,COURSE47,2022-05-18,Present,2022,5,18,2
51,1439,COURSE43,2021-03-06,Present,2021,3,6,5
52,1433,COURSE27,2020-06-25,Present,2020,6,25,3
53,1222,COURSE20,2024-09-05,Absent,2024,9,5,3
54,1031,COURSE31,2020-05-05,Absent,2020,5,5,1
55,1465,COURSE30,2024-08-13,Absent,2024,8,13,1
56,1033,COURSE34,2021-11-11,Present,2021,11,11,3
57,1189,COURSE9,2023-09-15,Present,2023,9,15,4
58,1008,COURSE16,2023-05-16,Present,2023,5,16,1
59,1384,COURSE2,2023-09-18,Absent,2023,9,18,0
60,1320,COURSE7,2024-07-12,Absent,2024,7,12,4
61,1407,COURSE22,2021-11-09,Absent,2021,11,9,1
62,1177,COURSE12,2024-04-22,Present,2024,4,22,0
63,1173,COURSE27,2023-10-13,Present,2023,10,13,4
64,1104,COURSE49,2021-06-22,Present,2021,6,22,1
65,1197,COURSE20,2021-08-11,Present,2021,8,11,2
66,1321,COURSE9,2024-10-19,Present,2024,10,19,5
67,1298,COURSE29,2021-05-21,Present,2021,5,21,4
68,1127,COURSE28,2021-10-16,Absent,2021,10,16,5
69,1125,COURSE31,2020-05-03,Present,2020,5,3,6
70,1369,COURSE27,2021-04-29,Absent,2021,4,29,3
71,1193,COURSE20,2022-02-16,Present,2022,2,16,2
72,1030,COURSE40,2021-02-26,Present,2021,2,26,4
73,1359,COURSE4,2023-07-25,Absent,2023,7,25,1
74,1135,COURSE4,2021-05-08,Absent,2021,5,8,5
75,1229,COURSE11,2022-11-19,Present,2022,11,19,5
76,1496,COURSE22,2022-03-31,Absent,2022,3,31,3
77,1069,COURSE12,2020-02-21,Absent,2020,2,21,4
78,1054,COURSE3,2020-12-29,Present,2020,12,29,1
79,1200,COURSE4,2022-01-29,Absent,2022,1,29,5
80,1147,COURSE33,2022-08-01,Absent,2022,8,1,0
81,1071,COURSE2,2023-05-02,Absent,2023,5,2,1
82,1013,COURSE22,2020-09-10,Present,2020,9,10,3
83,1180,COURSE26,2023-06-28,Present,2023,6,28,2
84,1418,COURSE23,2023-04-14,Absent,2023,4,14,4
85,1394,COURSE1,2020-04-15,Absent,2020,4,15,2
86,1169,COURSE15,2023-05-16,Absent,2023,5,16,1
87,1009,COURSE44,2020-04-11,Absent,2020,4,11,5
88,1083,COURSE26,2021-05-19,Present,2021,5,19,2
89,1334,COURSE29,2020-04-25,Absent,2020,4,25,5
90,1119,COURSE42,2021-01-27,Absent,2021,1,27,2
91,1418,COURSE25,2023-07-23,Absent,2023,7,23,6
92,1098,COURSE45,2020-12-29,Absent,2020,12,29,1
93,1430,COURSE24,2020-03-23,Absent,2020,3,23,0
94,1252,COURSE7,2024-11-29,Present,2024,11,29,4
95,1462,COURSE40,2024-04-02,Absent,2024,4,2,1
96,1044,COURSE40,2020-12-20,Absent,2020,12,20,6
97,1086,COURSE38,2023-04-16,Present,2023,4,16,6
98,1436,COURSE29,2023-08-08,Absent,2023,8,8,1
99,1380,COURSE44,2022-02-25,Present,2022,2,25,4
100,1252,COURSE49,2020-04-17,Absent,2020,4,17,4
101,1111,COURSE2,2021-08-25,Present,2021,8,25,2
