EnrollmentID,StudentID,CourseID,Semester,Year,Grade,Source
1,1039,COURSE47,Spring,2019,F,Original
2,1053,COURSE3,Spring,2022,C,Original
3,1369,COURSE27,Spring,2022,B,Original
4,1202,COURSE22,Summer,2020,D,Original
5,1163,COURSE43,Fall,2020,C,Original
6,1307,COURSE26,Spring,2019,B,Original
7,1474,COURSE38,Summer,2020,F,Original
8,1031,COURSE50,Spring,2020,C,Original
9,1340,COURSE38,Spring,2023,F,Original
10,1374,COURSE16,Spring,2022,A,Original
11,1496,COURSE26,Fall,2023,B,Original
12,1197,COURSE38,Spring,2024,C,Original
13,1374,COURSE23,Spring,2019,B,Original
14,1493,COURSE31,Fall,2023,A,Original
15,1039,COURSE9,Summer,2022,A,Original
16,1001,COURSE18,Spring,2021,B,Original
17,1139,COURSE13,Fall,2019,B,Original
18,1365,COURSE18,Fall,2022,A,Original
19,1106,COURSE28,Summer,2020,F,Original
20,1117,COURSE19,Summer,2024,B,Original
21,1321,COURSE11,Fall,2023,B,Original
22,1351,COURSE6,Fall,2023,D,Original
23,1446,COURSE10,Spring,2020,A,Original
24,1335,COURSE27,Fall,2021,C,Original
25,1234,COURSE2,Summer,2020,D,Original
26,1420,COURSE46,Fall,2019,C,Original
27,1039,COURSE49,Summer,2020,C,Original
28,1458,COURSE35,Fall,2022,A,Original
29,1256,COURSE46,Summer,2020,A,Original
30,1405,COURSE17,Fall,2019,D,Original
31,1387,COURSE49,Spring,2019,B,Original
32,1114,COURSE18,Fall,2020,F,Original
33,1055,COURSE41,Spring,2021,F,Original
34,1060,COURSE24,Spring,2023,A,Original
35,1316,COURSE41,Spring,2021,C,Original
36,1271,COURSE17,Fall,2020,F,Original
37,1314,COURSE13,Summer,2024,A,Original
38,1388,COURSE18,Summer,2022,A,Original
39,1180,COURSE25,Summer,2019,C,Original
40,1103,COURSE34,Spring,2022,A,Original
41,1245,COURSE4,Fall,2019,F,Original
42,1109,COURSE26,Spring,2021,A,Original
43,1400,COURSE31,Fall,2021,A,Original
44,1003,COURSE18,Summer,2020,C,Original
45,1319,COURSE36,Fall,2020,D,Original
46,1325,COURSE30,Fall,2019,A,Original
47,1426,COURSE30,Spring,2019,C,Original
48,1050,COURSE42,Spring,2020,B,Original
49,1333,COURSE47,Summer,2019,D,Original
50,1271,COURSE18,Spring,2019,A,Original
51,1370,COURSE24,Summer,2024,D,Original
52,1243,COURSE33,Fall,2023,B,Original
53,1430,COURSE41,Fall,2023,D,Original
54,1456,COURSE10,Fall,2023,B,Original
55,1151,COURSE48,Summer,2024,C,Original
56,1439,COURSE33,Spring,2019,C,Original
57,1324,COURSE43,Spring,2024,D,Original
58,1293,COURSE39,Summer,2019,B,Original
59,1427,COURSE42,Fall,2023,A,Original
60,1249,COURSE46,Summer,2020,A,Original
61,1196,COURSE27,Summer,2022,C,Original
62,1333,COURSE44,Fall,2020,F,Original
63,1169,COURSE38,Fall,2022,D,Original
64,1149,COURSE45,Fall,2021,A,Original
65,1117,COURSE6,Fall,2019,D,Original
66,1043,COURSE12,Spring,2019,B,Original
67,1448,COURSE5,Spring,2024,C,Original
68,1414,COURSE24,Spring,2023,B,Original
69,1267,COURSE41,Spring,2022,B,Original
70,1458,COURSE2,Summer,2020,A,Original
71,1340,COURSE27,Fall,2024,B,Original
72,1126,COURSE34,Summer,2023,D,Original
73,1245,COURSE20,Summer,2020,D,Original
74,1249,COURSE32,Spring,2023,A,Original
75,1138,COURSE37,Spring,2024,D,Original
76,1178,COURSE49,Summer,2023,D,Original
77,1039,COURSE24,Spring,2020,F,Original
78,1169,COURSE31,Summer,2022,F,Original
79,1104,COURSE9,Spring,2022,F,Original
80,1019,COURSE26,Fall,2023,B,Original
81,1196,COURSE22,Summer,2024,A,Original
82,1163,COURSE3,Spring,2019,B,Original
83,1359,COURSE1,Summer,2024,B,Original
84,1162,COURSE18,Fall,2021,A,Original
85,1407,COURSE39,Spring,2020,A,Original
86,1279,COURSE41,Spring,2024,C,Original
87,1309,COURSE12,Fall,2024,D,Original
88,1143,COURSE37,Spring,2024,C,Original
89,1191,COURSE22,Spring,2020,C,Original
90,1047,COURSE42,Summer,2024,A,Original
91,1475,COURSE24,Summer,2020,F,Original
92,1450,COURSE22,Spring,2024,C,Original
93,1400,COURSE3,Summer,2021,D,Original
94,1220,COURSE30,Spring,2022,A,Original
95,1282,COURSE38,Summer,2023,D,Original
96,1486,COURSE43,Summer,2019,F,Original
97,1146,COURSE10,Fall,2023,A,Original
98,1113,COURSE14,Fall,2023,D,Original
99,1446,COURSE19,Summer,2024,D,Original
100,1467,COURSE30,Fall,2020,D,Original
101,1283,COURSE36,Fall,2021,D,Original
102,1445,COURSE40,Summer,2024,F,Original
103,1252,COURSE2,Fall,2022,A,Original
104,1163,COURSE13,Fall,2020,D,Original
105,1175,COURSE39,Summer,2020,B,Original
106,1277,COURSE3,Spring,2019,C,Original
107,1410,COURSE15,Summer,2022,F,Original
108,1314,COURSE13,Fall,2022,D,Original
109,1495,COURSE34,Spring,2019,B,Original
110,1198,COURSE34,Summer,2019,B,Original
111,1436,COURSE25,Spring,2020,A,Original
112,1115,COURSE28,Fall,2024,C,Original
113,1092,COURSE19,Summer,2023,A,Original
114,1205,COURSE5,Summer,2022,D,Original
115,1433,COURSE20,Summer,2019,A,Original
116,1152,COURSE27,Spring,2024,D,Original
117,1137,COURSE31,Summer,2024,A,Original
118,1274,COURSE19,Spring,2023,B,Original
119,1106,COURSE12,Fall,2020,B,Original
120,1197,COURSE5,Spring,2020,A,Original
121,1262,COURSE4,Spring,2021,D,Original
122,1015,COURSE49,Summer,2021,D,Original
123,1178,COURSE33,Spring,2024,A,Original
124,1106,COURSE27,Summer,2024,D,Original
125,1292,COURSE26,Summer,2022,B,Original
126,1349,COURSE23,Fall,2023,B,Original
127,1499,COURSE38,Summer,2020,A,Original
128,1302,COURSE15,Spring,2022,B,Original
129,1098,COURSE2,Summer,2020,A,Original
130,1225,COURSE7,Fall,2019,C,Original
131,1034,COURSE9,Spring,2020,B,Original
132,1217,COURSE4,Summer,2019,F,Original
133,1152,COURSE4,Spring,2022,F,Original
134,1298,COURSE4,Fall,2021,D,Original
135,1273,COURSE48,Spring,2024,A,Original
136,1428,COURSE31,Spring,2024,F,Original
137,1281,COURSE32,Spring,2022,C,Original
138,1455,COURSE45,Summer,2021,D,Original
