GradeID,StudentID,CourseID,AssignmentType,Score,Date
1,1107,COURSE36,Midterm,89.0,2023-05-05 00:00:00
2,1221,COURSE46,Quiz,96.0,2021-11-20 00:00:00
3,1076,COURSE2,Quiz,84.0,2021-05-21 00:00:00
4,1133,COURSE49,Quiz,73.0,2024-07-10 00:00:00
5,1175,COURSE42,Quiz,67.0,2020-11-17 00:00:00
6,1408,COURSE16,Assignment,69.0,2022-12-26 00:00:00
7,1049,COURSE11,Assignment,72.0,2024-06-14 00:00:00
8,1188,COURSE22,Assignment,91.0,2020-12-18 00:00:00
9,1079,COURSE34,Assignment,65.0,2022-01-06 00:00:00
10,1465,COURSE49,Assignment,88.0,2022-05-31 00:00:00
11,1291,COURSE4,Assignment,68.0,2023-05-30 00:00:00
12,1325,COURSE5,Midterm,84.0,2022-11-06 00:00:00
13,1488,COURSE39,Final Exam,62.0,2023-07-30 00:00:00
14,1431,COURSE43,Quiz,96.0,2023-09-21 00:00:00
15,1258,COURSE40,Assignment,69.0,2024-06-03 00:00:00
16,1171,COURSE1,Assignment,74.0,2022-04-27 00:00:00
17,1498,COURSE50,Midterm,74.0,2022-08-25 00:00:00
18,1499,COURSE25,Midterm,77.0,2024-11-27 00:00:00
19,1187,COURSE32,Assignment,87.0,2021-09-25 00:00:00
20,1138,COURSE27,Midterm,72.0,2020-12-27 00:00:00
21,1085,COURSE39,Final Exam,65.0,2024-07-18 00:00:00
22,1393,COURSE34,Final Exam,83.0,2024-01-29 00:00:00
23,1024,COURSE41,Assignment,69.0,2023-03-08 00:00:00
24,1412,COURSE21,Quiz,89.0,2021-11-04 00:00:00
25,1418,COURSE16,Final Exam,91.0,2023-04-11 00:00:00
26,1449,COURSE27,Final Exam,75.0,2023-02-24 00:00:00
27,1127,COURSE11,Final Exam,93.0,2023-04-19 00:00:00
28,1351,COURSE10,Assignment,79.0,2021-06-19 00:00:00
29,1418,COURSE29,Quiz,83.0,2024-02-21 00:00:00
30,1007,COURSE34,Midterm,95.0,2024-02-29 00:00:00
31,1287,COURSE49,Midterm,89.0,2021-11-03 00:00:00
32,1454,COURSE47,Quiz,98.0,2022-01-09 00:00:00
33,1480,COURSE18,Final Exam,60.0,2022-09-06 00:00:00
34,1351,COURSE43,Quiz,84.0,2021-03-18 00:00:00
35,1437,COURSE18,Midterm,89.0,2023-06-21 00:00:00
36,1106,COURSE18,Midterm,69.0,2024-08-02 00:00:00
37,1264,COURSE41,Assignment,80.0,2023-03-01 00:00:00
38,1422,COURSE40,Quiz,77.0,2022-06-25 00:00:00
39,1058,COURSE23,Midterm,64.0,2023-08-07 00:00:00
40,1232,COURSE16,Assignment,84.0,2021-01-22 00:00:00
41,1102,COURSE37,Final Exam,87.0,2022-08-10 00:00:00
42,1273,COURSE43,Quiz,82.0,2023-06-15 00:00:00
43,1464,COURSE5,Midterm,64.0,2020-10-26 00:00:00
44,1397,COURSE2,Midterm,99.0,2023-09-08 00:00:00
45,1073,COURSE37,Midterm,98.0,2021-01-31 00:00:00
46,1453,COURSE13,Midterm,92.0,2021-04-22 00:00:00
