course_id,course_name,department,average_mark,student_count,record_count
COURSE91,Open-source Zero-defect Paradigm,Physics,81.01,1385,1631
COURSE2,Course 2,Physics,81.0,1364,1603
COURSE120,Inverse Web-enabled Infrastructure,Physics,80.78,1410,1635
COURSE20,Course 20,Computer Science,80.74,1244,1430
COURSE124,Fundamental Empowering Hierarchy,Biology,80.73,1322,1503
COURSE117,Synergistic Upward-trending Focus Group,Physics,80.73,1443,1690
COURSE4,Course 4,Biology,80.7,1350,1516
COURSE92,Proactive Upward-trending Emulation,Physics,80.68,1401,1630
COURSE25,Course 25,Biology,80.67,1374,1542
COURSE75,Grass-roots Next Generation Task-force,Biology,80.66,1290,1451
COURSE13,Course 13,Physics,80.65,1396,1652
COURSE134,Grass-roots Global Project,Physics,80.65,1396,1607
COURSE39,Course 39,Physics,80.63,1366,1600
COURSE7,Course 7,Mathematics,80.63,1577,1963
COURSE61,Devolved Demand-driven Function,Mathematics,80.61,1591,1993
COURSE113,Phased Zero-defect Conglomeration,Biology,80.61,1345,1520
COURSE103,Adaptive Zero Administration System Engine,Physics,80.6,1351,1580
COURSE111,Cross-platform Encompassing Info-mediaries,Mathematics,80.6,1576,1967
COURSE80,Vision-oriented Contextually-based Strategy,Mathematics,80.59,1605,2021
COURSE43,Course 43,Physics,80.58,1394,1633
COURSE65,Integrated Client-server Throughput,Mathematics,80.57,1673,2098
COURSE133,Balanced Upward-trending Hub,Biology,80.56,1332,1526
COURSE97,Polarized Responsive Flexibility,Computer Science,80.56,1277,1462
COURSE69,Networked Maximized Concept,Mathematics,80.56,1628,2048
COURSE30,Course 30,Computer Science,80.55,1244,1435
COURSE82,User-friendly Methodical Info-mediaries,Physics,80.55,1405,1618
COURSE46,Course 46,Physics,80.55,1439,1677
COURSE107,Cross-platform Leadingedge Emulation,Computer Science,80.54,1381,1556
COURSE34,Course 34,Mathematics,80.54,1628,2036
COURSE19,Course 19,Biology,80.53,1321,1502
COURSE5,Course 5,Mathematics,80.53,1561,1950
COURSE112,Multi-tiered Static Paradigm,Mathematics,80.53,1600,2008
COURSE101,Open-source Contextually-based Knowledgebase,Physics,80.53,1402,1646
COURSE146,Multi-channeled Heuristic Utilization,Computer Science,80.52,1295,1473
COURSE135,Persevering Actuating Model,Mathematics,80.52,1676,2063
COURSE147,Horizontal Contextually-based Framework,Mathematics,80.51,1575,2020
COURSE56,Multi-layered Web-enabled Emulation,Physics,80.51,1432,1692
COURSE16,Course 16,Biology,80.51,1317,1502
COURSE142,Pre-emptive Reciprocal Implementation,Physics,80.49,1439,1681
COURSE37,Course 37,Biology,80.48,1276,1450
COURSE44,Course 44,Mathematics,80.48,1594,2020
COURSE143,Inverse Clear-thinking Time-frame,Biology,80.47,1360,1550
COURSE148,Universal Neutral Software,Mathematics,80.47,1670,2066
COURSE86,Reactive National Strategy,Computer Science,80.47,1266,1445
COURSE102,Synergistic Mobile Moderator,Computer Science,80.47,1257,1420
COURSE15,Course 15,Biology,80.47,1315,1514
COURSE12,Course 12,Mathematics,80.47,1590,2001
COURSE131,Reverse-engineered Bottom-line Flexibility,Biology,80.46,1327,1513
COURSE106,Sharable Directional Utilization,Physics,80.46,1449,1691
COURSE72,Up-sized Bi-directional Function,Biology,80.45,1360,1548
COURSE18,Course 18,Physics,80.44,1403,1615
COURSE93,Sharable Content-based Project,Physics,80.44,1406,1645
COURSE77,Function-based Next Generation Protocol,Mathematics,80.44,1629,2065
COURSE123,Cross-platform User-facing Strategy,Biology,80.44,1299,1469
COURSE71,Reduced Disintermediate Solution,Mathematics,80.43,1581,1950
COURSE74,Reduced Clear-thinking Success,Physics,80.43,1439,1658
COURSE68,User-friendly Value-added Throughput,Mathematics,80.42,546,563
COURSE110,Re-contextualized Encompassing Process Improvement,Physics,80.41,1458,1695
COURSE53,Public-key Fresh-thinking Access,Biology,80.41,1338,1535
COURSE24,Course 24,Physics,80.4,1400,1633
COURSE145,Profit-focused Interactive Concept,Physics,80.4,1392,1652
COURSE6,Course 6,Computer Science,80.39,1258,1441
COURSE57,Polarized Discrete Capacity,Biology,80.39,1294,1471
COURSE27,Course 27,Biology,80.39,1303,1476
COURSE115,Progressive Heuristic Utilization,Biology,80.38,1346,1536
COURSE94,Multi-lateral 5thgeneration Task-force,Biology,80.38,1339,1499
COURSE38,Course 38,Physics,80.38,1382,1620
COURSE11,Course 11,Biology,80.37,1281,1462
COURSE14,Course 14,Computer Science,80.37,1269,1426
COURSE64,Down-sized Stable Challenge,Physics,80.37,1461,1705
COURSE105,Triple-buffered Full-range Superstructure,Physics,80.37,1404,1661
COURSE87,Progressive Systemic Strategy,Physics,80.37,1395,1637
COURSE128,Profit-focused Global Firmware,Biology,80.36,1316,1487
COURSE90,Enterprise-wide Hybrid Capability,Physics,80.36,1452,1704
COURSE52,Intuitive Content-based Internet Solution,Physics,80.36,1422,1647
COURSE136,Enhanced Grid-enabled Approach,Mathematics,80.35,1589,1993
COURSE76,Persevering Clear-thinking Methodology,Physics,80.35,1344,1545
COURSE26,Course 26,Biology,80.35,1327,1506
COURSE149,Front-line Mobile Database,Computer Science,80.34,1269,1441
COURSE48,Course 48,Computer Science,80.34,1297,1488
COURSE22,Course 22,Biology,80.33,1324,1494
COURSE50,Course 50,Computer Science,80.33,1257,1434
COURSE55,Mandatory Maximized Website,Biology,80.32,1357,1563
COURSE150,Secured Global Approach,Biology,80.32,1288,1455
COURSE67,Open-source Contextually-based Standardization,Biology,80.32,1313,1508
COURSE137,Profound Human-resource Matrix,Mathematics,80.31,1632,2042
COURSE78,Reverse-engineered System-worthy Superstructure,Computer Science,80.31,1311,1505
COURSE35,Course 35,Computer Science,80.31,1213,1375
COURSE29,Course 29,Mathematics,80.31,1585,2015
COURSE51,Front-line Solution-oriented Standardization,Physics,80.3,1394,1630
COURSE21,Course 21,Computer Science,80.3,1260,1435
COURSE122,Down-sized Value-added Service-desk,Computer Science,80.3,1319,1491
COURSE88,Optional Heuristic Alliance,Physics,80.3,1392,1664
COURSE60,Extended Bifurcated Concept,Biology,80.29,1303,1479
COURSE104,Switchable Didactic Internet Solution,Biology,80.28,1352,1543
COURSE49,Course 49,Computer Science,80.28,1266,1437
COURSE141,Decentralized Explicit Website,Biology,80.27,1335,1514
COURSE1,Course 1,Mathematics,80.27,1623,2038
COURSE140,Secured Non-volatile Service-desk,Physics,80.27,1372,1610
COURSE119,Optimized Secondary Paradigm,Biology,80.27,1283,1462
COURSE17,Course 17,Physics,80.26,1434,1688
COURSE100,Programmable Real-time Open System,Computer Science,80.26,1269,1443
COURSE132,Programmable 4thgeneration Parallelism,Computer Science,80.25,1226,1403
COURSE8,Course 8,Physics,80.25,1342,1573
COURSE47,Course 47,Mathematics,80.25,1600,2004
COURSE66,Intuitive Stable Structure,Mathematics,80.25,1579,1977
COURSE31,Course 31,Computer Science,80.24,1270,1416
COURSE58,Persevering Regional Architecture,Computer Science,80.24,1310,1483
COURSE114,Triple-buffered Tertiary Secured Line,Biology,80.23,1296,1491
COURSE73,Public-key Responsive Toolset,Computer Science,80.23,1309,1501
COURSE28,Course 28,Physics,80.23,1395,1649
COURSE41,Course 41,Biology,80.22,1297,1486
COURSE96,Cloned Radical Productivity,Computer Science,80.21,1385,1589
COURSE138,Optional Directional Contingency,Computer Science,80.2,1272,1442
