course_id,course_name,department,total_student_course_records,pass_count,fail_count,pass_rate_percentage,fail_rate_percentage
COURSE89,Proactive Dynamic Secured Line,Computer Science,1529,1527,2,99.87,0.13
COURSE10,Course 10,Biology,1501,1500,1,99.93,0.07
COURSE102,Synergistic Mobile Moderator,Computer Science,1420,1419,1,99.93,0.07
COURSE31,Course 31,Computer Science,1416,1415,1,99.93,0.07
COURSE126,Right-sized Static Functionalities,Biology,1500,1499,1,99.93,0.07
COURSE98,Decentralized 3rdgeneration Emulation,Computer Science,1469,1468,1,99.93,0.07
COURSE43,Course 43,Physics,1633,1632,1,99.94,0.06
COURSE82,User-friendly Methodical Info-mediaries,Physics,1618,1617,1,99.94,0.06
COURSE47,Course 47,Mathematics,2004,2003,1,99.95,0.05
COURSE112,Multi-tiered Static Paradigm,Mathematics,2008,2007,1,99.95,0.05
COURSE71,Reduced Disintermediate Solution,Mathematics,1950,1949,1,99.95,0.05
COURSE72,Up-sized Bi-directional Function,Biology,1548,1548,0,100.0,0.0
COURSE20,Course 20,Computer Science,1430,1430,0,100.0,0.0
COURSE130,Object-based Next Generation Migration,Computer Science,1444,1444,0,100.0,0.0
COURSE95,Centralized Asynchronous Standardization,Biology,1544,1544,0,100.0,0.0
COURSE11,Course 11,Biology,1462,1462,0,100.0,0.0
COURSE124,Fundamental Empowering Hierarchy,Biology,1503,1503,0,100.0,0.0
COURSE91,Open-source Zero-defect Paradigm,Physics,1631,1631,0,100.0,0.0
COURSE19,Course 19,Biology,1502,1502,0,100.0,0.0
COURSE63,Synergistic Fault-tolerant Firmware,Computer Science,1491,1491,0,100.0,0.0
COURSE128,Profit-focused Global Firmware,Biology,1487,1487,0,100.0,0.0
COURSE129,Multi-tiered Systematic Open Architecture,Computer Science,1394,1394,0,100.0,0.0
COURSE147,Horizontal Contextually-based Framework,Mathematics,2020,2020,0,100.0,0.0
COURSE137,Profound Human-resource Matrix,Mathematics,2042,2042,0,100.0,0.0
COURSE78,Reverse-engineered System-worthy Superstructure,Computer Science,1505,1505,0,100.0,0.0
COURSE32,Course 32,Computer Science,1453,1453,0,100.0,0.0
COURSE55,Mandatory Maximized Website,Biology,1563,1563,0,100.0,0.0
COURSE141,Decentralized Explicit Website,Biology,1514,1514,0,100.0,0.0
COURSE51,Front-line Solution-oriented Standardization,Physics,1630,1630,0,100.0,0.0
COURSE70,Progressive Dynamic Archive,Biology,1448,1448,0,100.0,0.0
COURSE59,Secured Methodical Emulation,Computer Science,1515,1515,0,100.0,0.0
COURSE133,Balanced Upward-trending Hub,Biology,1526,1526,0,100.0,0.0
COURSE143,Inverse Clear-thinking Time-frame,Biology,1550,1550,0,100.0,0.0
COURSE68,User-friendly Value-added Throughput,Mathematics,563,563,0,100.0,0.0
COURSE13,Course 13,Physics,1652,1652,0,100.0,0.0
COURSE117,Synergistic Upward-trending Focus Group,Physics,1690,1690,0,100.0,0.0
COURSE148,Universal Neutral Software,Mathematics,2066,2066,0,100.0,0.0
COURSE36,Course 36,Computer Science,1523,1523,0,100.0,0.0
COURSE14,Course 14,Computer Science,1426,1426,0,100.0,0.0
COURSE75,Grass-roots Next Generation Task-force,Biology,1451,1451,0,100.0,0.0
COURSE142,Pre-emptive Reciprocal Implementation,Physics,1681,1681,0,100.0,0.0
COURSE84,Customizable 3rdgeneration Emulation,Biology,1538,1538,0,100.0,0.0
COURSE4,Course 4,Biology,1516,1516,0,100.0,0.0
COURSE132,Programmable 4thgeneration Parallelism,Computer Science,1403,1403,0,100.0,0.0
COURSE104,Switchable Didactic Internet Solution,Biology,1543,1543,0,100.0,0.0
COURSE42,Course 42,Biology,1476,1476,0,100.0,0.0
COURSE37,Course 37,Biology,1450,1450,0,100.0,0.0
COURSE8,Course 8,Physics,1573,1573,0,100.0,0.0
COURSE116,Pre-emptive Empowering Circuit,Mathematics,2070,2070,0,100.0,0.0
COURSE9,Course 9,Biology,1451,1451,0,100.0,0.0
COURSE86,Reactive National Strategy,Computer Science,1445,1445,0,100.0,0.0
COURSE83,Intuitive Clear-thinking Flexibility,Computer Science,1489,1489,0,100.0,0.0
COURSE121,Open-source Neutral Intranet,Computer Science,1453,1453,0,100.0,0.0
COURSE144,Polarized Directional Policy,Biology,1569,1569,0,100.0,0.0
COURSE1,Course 1,Mathematics,2038,2038,0,100.0,0.0
COURSE39,Course 39,Physics,1600,1600,0,100.0,0.0
COURSE24,Course 24,Physics,1633,1633,0,100.0,0.0
COURSE140,Secured Non-volatile Service-desk,Physics,1610,1610,0,100.0,0.0
COURSE149,Front-line Mobile Database,Computer Science,1441,1441,0,100.0,0.0
COURSE35,Course 35,Computer Science,1375,1375,0,100.0,0.0
COURSE18,Course 18,Physics,1615,1615,0,100.0,0.0
COURSE150,Secured Global Approach,Biology,1455,1455,0,100.0,0.0
COURSE107,Cross-platform Leadingedge Emulation,Computer Science,1556,1556,0,100.0,0.0
COURSE115,Progressive Heuristic Utilization,Biology,1536,1536,0,100.0,0.0
COURSE146,Multi-channeled Heuristic Utilization,Computer Science,1473,1473,0,100.0,0.0
COURSE21,Course 21,Computer Science,1435,1435,0,100.0,0.0
COURSE48,Course 48,Computer Science,1488,1488,0,100.0,0.0
COURSE110,Re-contextualized Encompassing Process Improvement,Physics,1695,1695,0,100.0,0.0
COURSE94,Multi-lateral 5thgeneration Task-force,Biology,1499,1499,0,100.0,0.0
COURSE49,Course 49,Computer Science,1437,1437,0,100.0,0.0
COURSE122,Down-sized Value-added Service-desk,Computer Science,1491,1491,0,100.0,0.0
COURSE17,Course 17,Physics,1688,1688,0,100.0,0.0
COURSE67,Open-source Contextually-based Standardization,Biology,1508,1508,0,100.0,0.0
COURSE65,Integrated Client-server Throughput,Mathematics,2098,2098,0,100.0,0.0
COURSE135,Persevering Actuating Model,Mathematics,2063,2063,0,100.0,0.0
COURSE118,Synergistic Leadingedge Framework,Computer Science,1506,1506,0,100.0,0.0
COURSE114,Triple-buffered Tertiary Secured Line,Biology,1491,1491,0,100.0,0.0
COURSE60,Extended Bifurcated Concept,Biology,1479,1479,0,100.0,0.0
COURSE6,Course 6,Computer Science,1441,1441,0,100.0,0.0
COURSE53,Public-key Fresh-thinking Access,Biology,1535,1535,0,100.0,0.0
COURSE5,Course 5,Mathematics,1950,1950,0,100.0,0.0
COURSE131,Reverse-engineered Bottom-line Flexibility,Biology,1513,1513,0,100.0,0.0
COURSE64,Down-sized Stable Challenge,Physics,1705,1705,0,100.0,0.0
COURSE80,Vision-oriented Contextually-based Strategy,Mathematics,2021,2021,0,100.0,0.0
COURSE2,Course 2,Physics,1603,1603,0,100.0,0.0
COURSE90,Enterprise-wide Hybrid Capability,Physics,1704,1704,0,100.0,0.0
COURSE61,Devolved Demand-driven Function,Mathematics,1993,1993,0,100.0,0.0
COURSE29,Course 29,Mathematics,2015,2015,0,100.0,0.0
COURSE57,Polarized Discrete Capacity,Biology,1471,1471,0,100.0,0.0
COURSE45,Course 45,Computer Science,1384,1384,0,100.0,0.0
COURSE30,Course 30,Computer Science,1435,1435,0,100.0,0.0
COURSE38,Course 38,Physics,1620,1620,0,100.0,0.0
COURSE73,Public-key Responsive Toolset,Computer Science,1501,1501,0,100.0,0.0
COURSE93,Sharable Content-based Project,Physics,1645,1645,0,100.0,0.0
COURSE56,Multi-layered Web-enabled Emulation,Physics,1692,1692,0,100.0,0.0
COURSE33,Course 33,Biology,1471,1471,0,100.0,0.0
COURSE34,Course 34,Mathematics,2036,2036,0,100.0,0.0
COURSE15,Course 15,Biology,1514,1514,0,100.0,0.0
COURSE100,Programmable Real-time Open System,Computer Science,1443,1443,0,100.0,0.0
COURSE27,Course 27,Biology,1476,1476,0,100.0,0.0
COURSE22,Course 22,Biology,1494,1494,0,100.0,0.0
COURSE105,Triple-buffered Full-range Superstructure,Physics,1661,1661,0,100.0,0.0
COURSE96,Cloned Radical Productivity,Computer Science,1589,1589,0,100.0,0.0
COURSE3,Course 3,Computer Science,1459,1459,0,100.0,0.0
COURSE23,Course 23,Computer Science,1433,1433,0,100.0,0.0
COURSE139,Managed 5thgeneration Forecast,Biology,1476,1476,0,100.0,0.0
COURSE79,Right-sized Maximized Intranet,Biology,1537,1537,0,100.0,0.0
COURSE113,Phased Zero-defect Conglomeration,Biology,1520,1520,0,100.0,0.0
COURSE101,Open-source Contextually-based Knowledgebase,Physics,1646,1646,0,100.0,0.0
COURSE62,Optimized Bottom-line Access,Biology,1481,1481,0,100.0,0.0
COURSE106,Sharable Directional Utilization,Physics,1691,1691,0,100.0,0.0
COURSE138,Optional Directional Contingency,Computer Science,1442,1442,0,100.0,0.0
COURSE54,Programmable 5thgeneration Internet Solution,Mathematics,2006,2006,0,100.0,0.0
COURSE85,Focused 24hour Approach,Mathematics,2049,2049,0,100.0,0.0
COURSE25,Course 25,Biology,1542,1542,0,100.0,0.0
COURSE77,Function-based Next Generation Protocol,Mathematics,2065,2065,0,100.0,0.0
COURSE123,Cross-platform User-facing Strategy,Biology,1469,1469,0,100.0,0.0
COURSE136,Enhanced Grid-enabled Approach,Mathematics,1993,1993,0,100.0,0.0
COURSE97,Polarized Responsive Flexibility,Computer Science,1462,1462,0,100.0,0.0
COURSE103,Adaptive Zero Administration System Engine,Physics,1580,1580,0,100.0,0.0
COURSE40,Course 40,Physics,1666,1666,0,100.0,0.0
COURSE145,Profit-focused Interactive Concept,Physics,1652,1652,0,100.0,0.0
COURSE111,Cross-platform Encompassing Info-mediaries,Mathematics,1967,1967,0,100.0,0.0
COURSE88,Optional Heuristic Alliance,Physics,1664,1664,0,100.0,0.0
COURSE125,User-centric Logistical Info-mediaries,Biology,1479,1479,0,100.0,0.0
COURSE109,Fully-configurable Responsive Projection,Computer Science,1610,1610,0,100.0,0.0
COURSE108,Programmable Foreground Customer Loyalty,Computer Science,1467,1467,0,100.0,0.0
COURSE87,Progressive Systemic Strategy,Physics,1637,1637,0,100.0,0.0
COURSE58,Persevering Regional Architecture,Computer Science,1483,1483,0,100.0,0.0
COURSE76,Persevering Clear-thinking Methodology,Physics,1545,1545,0,100.0,0.0
COURSE120,Inverse Web-enabled Infrastructure,Physics,1635,1635,0,100.0,0.0
COURSE28,Course 28,Physics,1649,1649,0,100.0,0.0
COURSE69,Networked Maximized Concept,Mathematics,2048,2048,0,100.0,0.0
COURSE52,Intuitive Content-based Internet Solution,Physics,1647,1647,0,100.0,0.0
COURSE26,Course 26,Biology,1506,1506,0,100.0,0.0
COURSE44,Course 44,Mathematics,2020,2020,0,100.0,0.0
COURSE134,Grass-roots Global Project,Physics,1607,1607,0,100.0,0.0
COURSE12,Course 12,Mathematics,2001,2001,0,100.0,0.0
COURSE119,Optimized Secondary Paradigm,Biology,1462,1462,0,100.0,0.0
COURSE81,Profound Real-time Website,Computer Science,1509,1509,0,100.0,0.0
COURSE127,Innovative Human-resource Graphical User Interface,Computer Science,1488,1488,0,100.0,0.0
COURSE66,Intuitive Stable Structure,Mathematics,1977,1977,0,100.0,0.0
COURSE92,Proactive Upward-trending Emulation,Physics,1630,1630,0,100.0,0.0
COURSE41,Course 41,Biology,1486,1486,0,100.0,0.0
COURSE7,Course 7,Mathematics,1963,1963,0,100.0,0.0
COURSE74,Reduced Clear-thinking Success,Physics,1658,1658,0,100.0,0.0
COURSE16,Course 16,Biology,1502,1502,0,100.0,0.0
COURSE99,Universal 5thgeneration Product,Computer Science,1523,1523,0,100.0,0.0
COURSE50,Course 50,Computer Science,1434,1434,0,100.0,0.0
COURSE46,Course 46,Physics,1677,1677,0,100.0,0.0
